time_utc,open,high,low,close,tick_volume
2023-07-02 21:00:00,1.09085,1.09132,1.09005,1.09016,5889
2023-07-03 01:00:00,1.09013,1.09183,1.09013,1.09176,10846
2023-07-03 05:00:00,1.09175,1.09183,1.08701,1.08865,17138
2023-07-03 09:00:00,1.08864,1.09097,1.08761,1.09089,15827
2023-07-03 13:00:00,1.09089,1.0934,1.0902,1.09157,20609
2023-07-03 17:00:00,1.0916,1.09165,1.09085,1.09132,3711
2023-07-03 21:00:00,1.09089,1.09155,1.09085,1.09097,4024
2023-07-04 01:00:00,1.09098,1.09164,1.09007,1.09008,6483
2023-07-04 05:00:00,1.09005,1.09149,1.08922,1.08956,12523
2023-07-04 09:00:00,1.08954,1.09038,1.08897,1.09008,11377
2023-07-04 13:00:00,1.09008,1.09075,1.08919,1.08943,10021
2023-07-04 17:00:00,1.08946,1.08973,1.08767,1.08791,3637
2023-07-04 21:00:00,1.08777,1.08908,1.08775,1.08866,4554
2023-07-05 01:00:00,1.08867,1.08872,1.08751,1.08757,6866
2023-07-05 05:00:00,1.08753,1.0908,1.08664,1.0888,17720
2023-07-05 09:00:00,1.08879,1.09021,1.08754,1.08942,15853
2023-07-05 13:00:00,1.08945,1.09014,1.08592,1.08609,18779
2023-07-05 17:00:00,1.08605,1.08656,1.0851,1.08535,8965
2023-07-05 21:00:00,1.08515,1.0857,1.08464,1.0849,4570
2023-07-06 01:00:00,1.0849,1.08537,1.08338,1.08432,11096
2023-07-06 05:00:00,1.08429,1.08751,1.08416,1.08641,20572
2023-07-06 09:00:00,1.08641,1.09006,1.08584,1.08739,24435
2023-07-06 13:00:00,1.08744,1.08879,1.0834,1.08726,29765
2023-07-06 17:00:00,1.08728,1.08925,1.08725,1.0892,9710
2023-07-06 21:00:00,1.08857,1.08951,1.08826,1.08851,4947
2023-07-07 01:00:00,1.08851,1.08952,1.08834,1.08911,8207
2023-07-07 05:00:00,1.08915,1.09004,1.08671,1.08779,19138
2023-07-07 09:00:00,1.0878,1.09316,1.087,1.09122,22819
2023-07-07 13:00:00,1.09116,1.09728,1.08955,1.09719,29526
2023-07-07 17:00:00,1.09715,1.09733,1.09633,1.09661,9332
2023-07-09 21:00:00,1.09601,1.09697,1.09571,1.09642,6930
2023-07-10 01:00:00,1.09641,1.09695,1.09527,1.09531,12223
2023-07-10 05:00:00,1.09531,1.09657,1.09452,1.09648,16625
2023-07-10 09:00:00,1.09646,1.09734,1.09435,1.0947,16233
2023-07-10 13:00:00,1.09472,1.09928,1.09472,1.09893,22172
2023-07-10 17:00:00,1.09892,1.10015,1.09876,1.10009,8868
2023-07-10 21:00:00,1.10006,1.10088,1.09929,1.10067,5347
2023-07-11 01:00:00,1.10067,1.10201,1.10058,1.10198,12167
2023-07-11 05:00:00,1.10198,1.1027,1.10024,1.10029,19014
2023-07-11 09:00:00,1.1003,1.10128,1.09771,1.09819,16066
2023-07-11 13:00:00,1.09817,1.10032,1.09785,1.10026,18094
2023-07-11 17:00:00,1.10027,1.10093,1.09976,1.10082,7550
2023-07-11 21:00:00,1.10067,1.10217,1.1,1.10188,5781
2023-07-12 01:00:00,1.10185,1.10369,1.10185,1.10362,12174
2023-07-12 05:00:00,1.10363,1.10363,1.10208,1.10223,15450
2023-07-12 09:00:00,1.1022,1.10717,1.10138,1.10578,20416
2023-07-12 13:00:00,1.10583,1.11336,1.10566,1.11321,30523
2023-07-12 17:00:00,1.11317,1.11404,1.11247,1.11313,11006
2023-07-12 21:00:00,1.11284,1.11452,1.11273,1.11383,6846
2023-07-13 01:00:00,1.11384,1.11488,1.11364,1.11409,10564
2023-07-13 05:00:00,1.11408,1.11701,1.113,1.11609,21033
2023-07-13 09:00:00,1.11608,1.11898,1.11551,1.11796,21582
2023-07-13 13:00:00,1.11799,1.12089,1.11764,1.12059,24413
2023-07-13 17:00:00,1.1206,1.1228,1.12023,1.12262,10563
2023-07-13 21:00:00,1.12138,1.12297,1.12057,1.12229,7934
2023-07-14 01:00:00,1.12227,1.12431,1.12222,1.12331,12594
2023-07-14 05:00:00,1.12331,1.1236,1.12044,1.12313,18135
2023-07-14 09:00:00,1.12314,1.1245,1.12102,1.12259,18830
2023-07-14 13:00:00,1.12258,1.12445,1.12154,1.12395,26240
2023-07-14 17:00:00,1.12392,1.12395,1.12245,1.12287,9893
2023-07-16 21:00:00,1.12313,1.12348,1.12232,1.12247,6242
2023-07-17 01:00:00,1.12249,1.12286,1.12146,1.12269,9461
2023-07-17 05:00:00,1.12268,1.12489,1.12221,1.12379,15532
2023-07-17 09:00:00,1.12376,1.12448,1.12209,1.12356,17547
2023-07-17 13:00:00,1.12357,1.12384,1.12034,1.1233,17739
2023-07-17 17:00:00,1.12331,1.12462,1.12321,1.1238,7287
2023-07-17 21:00:00,1.12329,1.12465,1.12314,1.12419,4892
2023-07-18 01:00:00,1.12422,1.12564,1.12387,1.12518,11318
2023-07-18 05:00:00,1.12518,1.12758,1.12281,1.12372,19763
2023-07-18 09:00:00,1.12373,1.12703,1.12231,1.12398,22191
2023-07-18 13:00:00,1.124,1.12461,1.12091,1.12147,30254
2023-07-18 17:00:00,1.12145,1.12316,1.12093,1.12278,10765
