time_utc,open,high,low,close,tick_volume
2016-01-03 22:00:00,1.47339,1.47449,1.46930,1.47177,7432
2016-01-04 02:00:00,1.47176,1.47456,1.47040,1.47364,10290
2016-01-04 06:00:00,1.47368,1.47840,1.47209,1.47833,17820
2016-01-04 10:00:00,1.47832,1.48153,1.47341,1.47362,19194
2016-01-04 14:00:00,1.47363,1.47435,1.46630,1.46970,21510
2016-01-04 18:00:00,1.46969,1.47271,1.46945,1.47178,8770
2016-01-04 22:00:00,1.47143,1.47239,1.47057,1.47237,6888
2016-01-05 02:00:00,1.47235,1.47253,1.47071,1.47199,5346
2016-01-05 06:00:00,1.47198,1.47245,1.46754,1.46789,16456
2016-01-05 10:00:00,1.46788,1.46862,1.46594,1.46801,19800
2016-01-05 14:00:00,1.46800,1.46954,1.46383,1.46617,20860
2016-01-05 18:00:00,1.46616,1.46791,1.46597,1.46749,9148
2016-01-05 22:00:00,1.46664,1.46817,1.46636,1.46666,11650
2016-01-06 02:00:00,1.46667,1.46722,1.46533,1.46555,10282
2016-01-06 06:00:00,1.46556,1.46622,1.46192,1.46480,20050
2016-01-06 10:00:00,1.46479,1.46660,1.46005,1.46417,21070
2016-01-06 14:00:00,1.46413,1.46479,1.46021,1.46209,21656
2016-01-06 18:00:00,1.46211,1.46435,1.46156,1.46300,16630
2016-01-06 22:00:00,1.46298,1.46393,1.46216,1.46319,11038
2016-01-07 02:00:00,1.46316,1.46404,1.46257,1.46332,9798
2016-01-07 06:00:00,1.46331,1.46334,1.45602,1.45766,23220
2016-01-07 10:00:00,1.45771,1.45871,1.45330,1.45639,22492
2016-01-07 14:00:00,1.45640,1.46016,1.45556,1.45868,23494
2016-01-07 18:00:00,1.45866,1.46240,1.45865,1.46167,12328
2016-01-07 22:00:00,1.46163,1.46388,1.46083,1.46245,13362
2016-01-08 02:00:00,1.46252,1.46448,1.46130,1.46130,10502
2016-01-08 06:00:00,1.46126,1.46302,1.46038,1.46197,17180
2016-01-08 10:00:00,1.46196,1.46251,1.45509,1.45675,20684
2016-01-08 14:00:00,1.45673,1.45866,1.45061,1.45173,27882
2016-01-08 18:00:00,1.45163,1.45324,1.45131,1.45199,11632
2016-01-10 22:00:00,1.45247,1.45577,1.44943,1.45254,14656
